team1,Mean Score
DNA,125.13265306122449
TEX,122.46666666666667
PTC,121.75324675324676
OAK,120.02325581395348
LAS,116.74157303370787
FLO,116.69662921348315
UTS,116.56175298804781
SDR,116.51204819277109
MMF,116.17241379310344
CIN,115.40853658536585
DNR,115.33876221498372
WSA,115.0
BAL,114.90329218106996
PTP,114.68181818181819
DLC,114.61777777777777
INA,114.24942263279446
NOB,114.09848484848484
KEN,114.02784222737819
CAR,113.57522123893806
NJA,113.3
SFW,112.90368271954674
SDA,112.77272727272727
MNP,112.60975609756098
SDC,112.26422764227642
VIR,112.13857677902622
CHP,112.12962962962963
ANA,112.0
STL,111.95372233400403
CHZ,111.92
KCK,111.31116389548694
NYA,111.27882037533512
SAA,110.72592592592592
MNM,110.53488372093024
LAL,110.16368381804624
DEN,109.82760563380282
SSL,109.54545454545455
HSM,109.37974683544304
PHO,109.19175544233441
GSW,108.88728179551123
NOJ,108.1609756097561
MMP,107.43373493975903
SEA,107.03929384965832
BUF,106.8757225433526
BOS,106.55774561133354
POR,106.31831395348837
SAS,106.24314345991561
WSB,106.03819095477387
SDS,106.0
OKC,105.90969162995594
PHI,105.80623132735809
MIL,105.35630567276137
HOU,105.33463988241058
MMT,105.23170731707317
DET,104.9849454271735
KCO,104.75396825396825
ATL,104.34736355226642
DAL,104.25614250614251
SYR,104.11410788381743
UTA,104.10011709601874
SAC,103.74377745241581
IND,103.16786305908337
CHI,102.87863025574339
NYK,102.56394763343404
CLE,102.50121300339642
MMS,102.0909090909091
CAP,101.95454545454545
CHH,101.93955094991364
NJN,101.6275579809004
ORL,101.41401792991034
LAC,101.31467044649185
BRK,100.87984496124031
WAS,100.11162255466053
TOR,99.53854166666666
MIA,99.33257747543462
NOP,99.27796610169491
MIN,99.0672268907563
MEM,98.59779614325069
CHO,98.43630017452007
PHW,97.17567567567568
NYN,96.26829268292683
NOK,95.45121951219512
MNL,94.99347826086957
VAN,92.6
SHE,90.71875
ROC,90.08794788273616
AND,88.63157894736842
FTW,87.0081081081081
TRI,86.78260869565217
BLB,82.10071942446044
INO,81.54901960784314
WSC,79.68027210884354
WAT,79.64516129032258
CHS,78.075
DNN,77.11764705882354
MLH,76.63013698630137
PRO,75.025
INJ,74.38709677419355
TRH,74.13333333333334
CLR,73.93548387096774
STB,70.9274193548387
DTF,61.5
PIT,59.86666666666667
