year,Number of Matches Played
2012,1474
2017,1347
2006,1341
2014,1334
2016,1333
2008,1333
2013,1324
2005,1322
2010,1321
2015,1319
2009,1316
2007,1308
2000,1281
2003,1279
2002,1276
1996,1269
1997,1262
2001,1253
2004,1247
1971,1230
1995,1222
1972,1218
1999,1213
1970,1199
1973,1194
1993,1193
1994,1186
1990,1185
1991,1184
1975,1168
1974,1168
1992,1147
1989,1121
1969,1117
1976,1073
1988,1064
1984,1032
1985,1015
1982,1003
1968,1003
1983,990
1979,988
1987,981
1986,979
1978,974
1980,974
1977,961
2011,885
1981,878
1998,837
2018,768
1967,676
1950,509
1949,475
1966,409
1964,396
1962,390
1965,384
1963,380
1961,363
1952,363
1951,361
1953,360
1960,332
1956,326
1954,322
1959,319
1957,314
1958,308
1955,306
1947,295
1948,289
1946,128
